Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
927190,536,536.04,40.0,40.0,0,11.41
927195,545,545.03,44.88,44.88,0,11.41
927200,547,546.97,49.64,49.64,0,11.41
927205,564,563.96,54.22,54.22,0,11.41
927210,573,573.03,58.57,58.57,0,11.41
927215,580,580.04,62.66,62.66,0,11.41
927220,587,586.97,66.43,66.43,0,11.41
927225,593,592.96,69.84,69.84,0,11.41
927230,597,597.03,72.87,72.87,0,11.41
927235,602,602.04,75.48,75.48,0,11.41
927240,604,603.96,77.65,77.65,0,11.41
927245,605,604.95,79.36,79.36,0,11.41
927250,606,606.04,80.6,80.6,0,11.41
927255,604,604.05,81.36,80.81,0,11.41
927260,604,603.95,81.64,80.81,0,11.41
927265,601,600.95,81.46,80.81,0,11.41
927270,598,598.05,80.81,80.81,0,11.41
927275,594,594.05,79.72,79.72,0,11.41
927280,590,589.95,78.2,78.2,0,11.41
927285,587,586.94,76.29,76.29,0,11.41
927290,583,583.06,74.0,74.0,0,11.41
927295,578,578.06,71.36,71.36,0,11.41
927300,574,573.94,68.42,68.42,0,11.41
927305,569,568.94,65.19,65.19,0,11.41
927310,565,565.07,61.73,61.73,0,11.41
927315,560,560.06,58.06,58.06,0,11.41
927320,555,554.92,54.22,54.22,0,11.41
927325,551,550.94,50.25,50.25,0,11.41
927330,545,545.08,46.18,46.18,0,11.41
927335,541,541.06,42.06,42.06,0,11.41
927340,537,536.91,37.91,37.91,0,11.41
927345,533,532.95,33.78,33.78,0,11.41
927350,526,526.09,29.69,29.69,0,11.41
927355,523,523.05,25.67,25.67,0,11.41
927360,518,517.9,21.76,21.76,0,11.41
927365,514,513.95,17.98,17.98,0,11.41
927370,509,509.1,14.34,14.34,0,11.41
927375,508,508.05,10.89,10.89,0,11.41
927380,502,501.9,7.62,7.62,0,11.41
927385,499,498.95,4.55,4.55,0,11.41
927390,498,498.1,1.71,1.71,0,11.41
927395,496,496.06,-0.91,-0.91,0,11.41
927400,494,493.89,-3.31,-3.31,0,11.41
927405,493,492.94,-5.47,-5.47,0,11.41
927410,491,491.11,-7.41,-7.41,0,11.41
927415,491,491.07,-9.12,-9.12,0,11.41
927420,491,490.88,-10.62,-10.62,0,11.41
927425,492,491.93,-11.92,-11.92,0,11.41
927430,492,492.12,-13.02,-13.02,0,11.41
927435,493,493.08,-13.94,-13.94,0,11.41
927440,494,493.88,-14.7,-14.7,0,11.41
927445,495,494.92,-15.32,-15.32,0,11.41
927450,495,495.13,-15.81,-15.81,0,11.41
927455,497,497.09,-16.19,-16.19,0,11.41
927460,496,495.87,-16.49,-16.49,0,11.41
927465,497,496.91,-16.72,-16.72,0,11.41
927470,499,499.14,-16.9,-16.9,0,11.41
927475,500,500.1,-17.05,-17.05,0,11.41
927480,500,499.86,-17.18,-17.18,0,11.41
927485,501,500.89,-17.32,-17.32,0,11.41
927490,500,500.15,-17.48,-17.48,0,11.41
927495,500,500.12,-17.67,-17.67,0,11.41
927500,500,499.84,-17.91,-17.91,0,11.41
927505,500,499.87,-18.2,-18.2,0,11.41
927510,498,498.16,-18.56,-18.56,0,11.41
927515,499,499.14,-19.0,-19.0,0,11.41
927520,498,497.83,-19.51,-19.51,0,11.41
927525,497,496.85,-20.11,-20.11,0,11.41
927530,495,495.17,-20.8,-20.8,0,11.41
927535,495,495.16,-21.57,-21.57,0,11.41
927540,494,493.82,-22.43,-22.43,0,11.41
