Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
688877,651,651.06,56.72,56.66,0,11.37
688879,650,649.92,56.83,56.66,0,11.37
688880,650,649.94,56.81,56.66,0,11.37
688881,650,650.09,56.66,56.66,0,11.37
688882,651,651.06,56.34,56.34,0,11.37
688883,651,650.9,55.84,55.84,0,11.37
688884,652,651.94,55.15,55.15,0,11.37
688885,651,651.1,54.25,54.25,0,11.37
688886,652,652.07,53.12,53.12,0,11.37
688887,650,649.89,51.74,51.74,0,11.37
688890,651,650.93,50.11,50.11,0,11.37
688895,651,651.12,48.2,48.2,0,11.37
688900,648,648.07,46.02,46.02,0,11.37
688905,645,644.87,43.56,43.56,0,11.37
688910,643,642.93,40.81,40.81,0,11.37
688915,638,638.15,37.78,37.78,0,11.37
688920,635,635.07,34.47,34.47,0,11.37
688925,631,630.84,30.88,30.88,0,11.37
688930,626,625.92,27.02,27.02,0,11.37
688935,619,619.17,22.92,22.92,0,11.37
688940,612,612.07,18.58,18.58,0,11.37
688945,607,606.82,14.03,14.03,0,11.37
688950,601,600.93,9.28,9.28,0,11.37
688955,596,596.2,4.37,4.37,0,11.37
688960,590,590.07,-0.69,-0.69,0,11.37
688965,582,581.79,-5.86,-5.86,0,11.37
688970,575,574.93,-11.11,-11.11,0,11.37
688975,566,566.23,-16.42,-16.42,0,11.37
688980,558,558.07,-21.74,-21.74,0,11.37
688985,551,550.76,-27.05,-27.05,0,11.37
688990,542,541.93,-32.31,-32.31,0,11.37
688995,533,533.25,-37.48,-37.48,0,11.37
689000,524,524.06,-42.54,-42.54,0,11.37
689005,519,518.73,-47.46,-47.46,0,11.37
689010,511,510.94,-52.2,-52.2,0,11.37
689015,504,504.28,-56.74,-56.74,0,11.37
689020,497,497.05,-61.06,-61.06,0,11.37
689025,493,492.71,-65.13,-65.13,0,11.37
689030,487,486.96,-68.94,-68.94,0,11.37
689035,482,482.3,-72.47,-72.47,0,11.37
689040,479,479.03,-75.72,-75.72,0,11.37
689045,476,475.7,-78.67,-78.67,0,11.37
689050,473,472.98,-81.33,-81.33,0,11.37
689055,471,471.31,-83.7,-83.7,0,11.37
689060,470,470.02,-85.78,-85.78,0,11.37
689065,469,468.68,-87.58,-87.58,0,11.37
689070,468,467.99,-89.11,-89.11,0,11.37
689075,458,458.32,-90.39,-90.39,0,11.37
689080,467,467.0,-91.42,-91.42,0,11.37
689085,468,467.69,-92.24,-92.24,0,11.37
689090,468,468.01,-92.86,-92.86,0,11.37
689095,468,468.29,-93.31,-93.31,0,11.37
689100,469,468.98,-93.6,-93.6,0,11.37
689105,470,469.72,-93.76,-93.71,0,11.37
689110,470,470.02,-93.82,-93.71,0,11.37
689115,472,472.26,-93.79,-93.71,0,11.37
689120,471,470.97,-93.71,-93.71,0,11.37
689125,472,471.76,-93.59,-93.59,0,11.37
689130,471,471.04,-93.45,-93.45,0,11.37
689135,473,473.23,-93.3,-93.3,0,11.37
689140,473,472.95,-93.17,-93.17,0,11.37
689145,473,472.78,-93.07,-93.07,0,11.37
689150,474,474.05,-93.01,-93.07,0,11.37
689155,472,472.2,-93.0,-93.07,0,11.37
689160,473,472.94,-93.04,-93.07,0,11.37
689165,471,470.81,-93.14,-93.14,0,11.37
689170,470,470.07,-93.3,-93.3,0,11.37
689175,471,471.18,-93.5,-93.5,0,11.37
689180,469,468.93,-93.76,-93.76,0,11.37
689185,469,468.83,-94.05,-94.05,0,11.37
689190,467,467.08,-94.37,-94.37,0,11.37
689195,467,467.17,-94.69,-94.69,0,11.37
689200,465,464.92,-95.01,-95.01,0,11.37
