Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
161695,300,300.21,-135.03,-135.03,0,0.7
161700,296,296.02,-138.92,-138.92,0,0.7
161705,297,296.77,-142.53,-142.53,0,0.7
161710,293,292.99,-145.78,-145.78,0,0.7
161715,291,291.24,-148.61,-148.61,0,0.7
161720,291,291.01,-150.94,-150.94,0,0.7
161725,288,287.75,-152.68,-152.68,0,0.7
161730,287,286.99,-153.76,-152.68,0,0.7
161735,286,286.27,-154.09,-152.68,0,0.7
161740,285,285.01,-153.59,-152.68,0,0.7
161745,285,284.72,-152.17,-152.17,0,0.7
161750,281,280.99,-149.75,-149.75,0,0.7
161755,281,281.29,-146.24,-146.24,0,0.7
161760,282,282.01,-141.58,-141.58,0,0.7
161765,279,278.7,-135.67,-135.67,0,0.7
161770,277,276.98,-128.45,-128.45,0,0.7
161775,278,278.32,-119.86,-119.86,0,0.7
161780,278,278.04,-109.86,-109.86,0,0.7
161785,278,277.67,-98.39,-98.39,0,0.7
161790,276,275.95,-85.44,-85.44,0,0.7
161795,277,277.34,-70.99,-70.99,0,0.7
161800,280,280.07,-55.05,-55.05,0,0.7
161805,284,283.65,-37.66,-37.66,0,0.7
161810,291,290.91,-18.85,-18.85,0,0.7
161815,302,302.37,1.28,1.28,0,0.7
161820,321,321.11,22.65,22.65,0,0.7
161825,345,344.63,45.12,45.12,0,0.7
161830,378,377.88,68.53,68.53,0,0.7
161835,421,421.4,92.71,92.71,0,0.7
161840,468,468.16,117.46,117.46,0,0.7
161845,530,529.6,142.54,142.54,0,0.7
161850,594,593.84,167.73,167.73,0,0.7
161855,663,663.42,192.77,192.77,0,0.7
161860,737,737.18,217.43,217.43,0,0.7
161865,813,812.57,241.45,241.45,0,0.7
161870,856,855.78,264.62,264.62,0,0.7
161875,855,855.37,286.73,286.73,0,0.7
161880,854,854.18,307.6,307.6,0,0.7
161885,854,853.66,327.07,327.07,0,0.7
161890,856,855.87,345.02,345.02,0,0.7
161895,855,855.31,361.33,361.33,0,0.7
161900,856,856.08,375.92,375.92,0,0.7
161905,853,852.72,388.69,388.69,0,0.7
161910,855,854.97,399.6,399.6,0,0.7
161915,856,856.26,408.59,408.59,0,0.7
161920,855,854.99,415.63,415.63,0,0.7
161925,855,854.76,420.68,420.68,0,0.7
161930,855,855.06,423.73,420.78,0,0.7
161935,855,855.22,424.77,420.78,0,0.7
161940,854,853.89,423.78,420.78,0,0.7
161945,854,853.8,420.78,420.78,0,0.7
161950,854,854.15,415.78,415.78,0,0.7
161955,855,855.19,408.79,408.79,0,0.7
161960,854,853.8,399.84,399.84,0,0.7
161965,856,855.82,388.96,388.96,0,0.7
161970,855,855.25,376.19,376.19,0,0.7
161975,855,855.16,361.61,361.61,0,0.7
161980,855,854.7,345.26,345.26,0,0.7
161985,855,854.86,327.24,327.24,0,0.7
