Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
141915,486,486.01,33.09,33.09,0,9.12
141920,487,486.78,38.57,38.57,0,9.12
141925,488,487.98,44.03,44.03,0,9.12
141930,489,489.22,49.45,49.45,0,9.12
141935,492,492.02,54.81,54.81,0,9.12
141940,496,495.78,60.09,60.09,0,9.12
141945,503,502.98,65.26,65.26,0,9.12
141950,510,510.22,70.28,70.28,0,9.12
141955,520,520.02,75.14,75.14,0,9.12
141960,531,530.79,79.78,79.78,0,9.12
141965,541,540.98,84.17,84.17,0,9.12
141970,550,550.21,88.28,88.28,0,9.12
141975,563,563.02,92.07,92.07,0,9.12
141980,572,571.8,95.5,95.5,0,9.12
141985,580,579.97,98.54,98.54,0,9.12
141990,585,585.19,101.15,101.15,0,9.12
141995,591,591.03,103.32,103.32,0,9.12
142000,595,594.82,105.01,105.01,0,9.12
142005,598,597.97,106.22,106.22,0,9.12
142010,597,597.17,106.93,106.22,0,9.12
142015,598,598.03,107.14,106.22,0,9.12
142020,598,597.84,106.85,106.22,0,9.12
142025,595,594.97,106.07,106.07,0,9.12
142030,592,592.14,104.81,104.81,0,9.12
142035,587,587.03,103.09,103.09,0,9.12
142040,583,582.87,100.93,100.93,0,9.12
142045,579,578.97,98.35,98.35,0,9.12
142050,574,574.11,95.4,95.4,0,9.12
142055,566,566.03,92.1,92.1,0,9.12
142060,561,560.9,88.48,88.48,0,9.12
142065,558,557.98,84.59,84.59,0,9.12
142070,552,552.09,80.46,80.46,0,9.12
142075,547,547.01,76.13,76.13,0,9.12
142080,541,540.91,71.64,71.64,0,9.12
142085,535,535.0,67.03,67.03,0,9.12
142090,532,532.08,62.33,62.33,0,9.12
142095,526,525.99,57.59,57.59,0,9.12
142100,523,522.92,52.83,52.83,0,9.12
142105,520,520.02,48.1,48.1,0,9.12
142110,515,515.07,43.42,43.42,0,9.12
142115,512,511.97,38.82,38.82,0,9.12
142120,506,505.93,34.34,34.34,0,9.12
142125,503,503.04,30.0,30.0,0,9.12
142130,500,500.07,25.81,25.81,0,9.12
142135,497,496.95,21.81,21.81,0,9.12
142140,493,492.93,18.02,18.02,0,9.12
142145,489,489.06,14.44,14.44,0,9.12
142150,486,486.07,11.09,11.09,0,9.12
142155,484,483.93,7.99,7.99,0,9.12
142160,481,480.93,5.14,5.14,0,9.12
142165,479,479.07,2.54,2.54,0,9.12
142170,478,478.07,0.21,0.21,0,9.12
142175,476,475.92,-1.87,-1.87,0,9.12
142180,475,474.93,-3.69,-3.69,0,9.12
142185,476,476.08,-5.26,-5.26,0,9.12
142190,475,475.07,-6.6,-6.6,0,9.12
142195,476,475.91,-7.7,-7.7,0,9.12
142200,476,475.92,-8.58,-8.58,0,9.12
142205,477,477.1,-9.27,-9.27,0,9.12
142210,479,479.08,-9.76,-9.76,0,9.12
142215,480,479.89,-10.09,-10.09,0,9.12
142220,484,483.92,-10.27,-10.1,0,9.12
142225,484,484.12,-10.32,-10.1,0,9.12
142230,486,486.09,-10.26,-10.1,0,9.12
142235,488,487.88,-10.1,-10.1,0,9.12
142240,488,487.91,-9.88,-9.88,0,9.12
142245,486,486.13,-9.59,-9.59,0,9.12
142250,490,490.09,-9.27,-9.27,0,9.12
142255,491,490.87,-8.93,-8.93,0,9.12
142260,492,491.91,-8.58,-8.58,0,9.12
142265,493,493.13,-8.25,-8.25,0,9.12
142270,492,492.09,-7.93,-7.93,0,9.12
142275,492,491.87,-7.65,-7.65,0,9.12
142280,493,492.91,-7.41,-7.41,0,9.12
142285,493,493.13,-7.22,-7.22,0,9.12
142290,493,493.09,-7.09,-7.12,0,9.12
142295,494,493.87,-7.03,-7.12,0,9.12
142300,494,493.91,-7.04,-7.12,0,9.12
142305,492,492.13,-7.12,-7.12,0,9.12
142310,493,493.09,-7.29,-7.29,0,9.12
142315,492,491.86,-7.53,-7.53,0,9.12
142320,492,491.91,-7.84,-7.84,0,9.12
142325,491,491.14,-8.24,-8.24,0,9.12
142330,491,491.09,-8.71,-8.71,0,9.12
142335,491,490.87,-9.26,-9.26,0,9.12
142340,489,488.91,-9.88,-9.88,0,9.12
142345,489,489.13,-10.56,-10.56,0,9.12
142350,489,489.09,-11.3,-11.3,0,9.12
142355,488,487.87,-12.1,-12.1,0,9.12
142360,488,487.91,-12.95,-12.95,0,9.12
142365,488,488.13,-13.84,-13.84,0,9.12
142370,487,487.1,-14.77,-14.77,0,9.12
142375,485,484.87,-15.73,-15.73,0,9.12
142380,485,484.9,-16.71,-16.71,0,9.12
142385,487,487.14,-17.71,-17.71,0,9.12
142390,485,485.11,-18.71,-18.71,0,9.12
142395,485,484.85,-19.71,-19.71,0,9.12
142400,484,483.89,-20.69,-20.69,0,9.12
142405,483,483.16,-21.65,-21.65,0,9.12
142410,484,484.12,-22.58,-22.58,0,9.12
142415,485,484.84,-23.47,-23.47,0,9.12
142420,485,484.87,-24.31,-24.31,0,9.12
142425,484,484.17,-25.08,-25.08,0,9.12
142430,484,484.13,-25.77,-25.77,0,9.12
142435,484,483.83,-26.38,-26.38,0,9.12
142440,485,484.86,-26.89,-26.89,0,9.12
142445,484,484.18,-27.29,-27.29,0,9.12
142450,484,484.14,-27.55,-27.46,0,9.12
142455,484,483.82,-27.68,-27.46,0,9.12
142460,485,484.86,-27.66,-27.46,0,9.12
142465,485,485.19,-27.46,-27.46,0,9.12
142470,484,484.15,-27.09,-27.09,0,9.12
142475,483,482.8,-26.51,-26.51,0,9.12
142480,485,484.85,-25.73,-25.73,0,9.12
142485,484,484.21,-24.73,-24.73,0,9.12
142490,484,484.15,-23.5,-23.5,0,9.12
142495,493,492.78,-22.02,-22.02,0,9.12
142500,484,483.85,-20.29,-20.29,0,9.12
142505,485,485.22,-18.29,-18.29,0,9.12
142510,484,484.15,-16.03,-16.03,0,9.12
142515,484,483.79,-13.5,-13.5,0,9.12
142520,483,482.85,-10.7,-10.7,0,9.12
142525,484,484.2,-7.63,-7.63,0,9.12
142530,485,485.15,-4.29,-4.29,0,9.12
142535,485,484.8,-0.71,-0.71,0,9.12
142540,486,485.84,3.11,3.11,0,9.12
142545,490,490.19,7.14,7.14,0,9.12
142550,493,493.17,11.35,11.35,0,9.12
142555,499,498.81,15.72,15.72,0,9.12
142560,507,506.83,20.2,20.2,0,9.12
142565,515,515.19,24.76,24.76,0,9.12
142570,525,525.18,29.34,29.34,0,9.12
142575,538,537.82,33.89,33.89,0,9.12
142580,548,547.81,38.37,38.37,0,9.12
142585,560,560.18,42.71,42.71,0,9.12
142590,571,571.19,46.87,46.87,0,9.12
142595,580,579.82,50.79,50.79,0,9.12
142600,588,587.8,54.42,54.42,0,9.12
142605,595,595.17,57.72,57.72,0,9.12
142610,600,600.21,60.64,60.64,0,9.12
142615,604,603.83,63.16,63.16,0,9.12
142620,615,614.78,65.24,65.24,0,9.12
142625,607,607.16,66.86,66.86,0,9.12
142630,608,608.21,68.01,68.01,0,9.12
142635,606,605.84,68.68,68.01,0,9.12
142640,606,605.8,68.86,68.01,0,9.12
142645,601,601.16,68.56,68.01,0,9.12
142650,598,598.18,67.79,67.79,0,9.12
142655,592,591.84,66.58,66.58,0,9.12
142660,588,587.83,64.93,64.93,0,9.12
142665,583,583.16,62.87,62.87,0,9.12
142670,578,578.16,60.44,60.44,0,9.12
142675,573,572.84,57.67,57.67,0,9.12
142680,568,567.85,54.58,54.58,0,9.12
142685,560,560.16,51.21,51.21,0,9.12
142690,557,557.13,47.61,47.61,0,9.12
142695,551,550.85,43.8,43.8,0,9.12
142700,546,545.88,39.83,39.83,0,9.12
142705,541,541.15,35.73,35.73,0,9.12
142710,538,538.11,31.54,31.54,0,9.12
142715,534,533.86,27.29,27.29,0,9.12
142720,528,527.9,23.01,23.01,0,9.12
142725,524,524.14,18.75,18.75,0,9.12
142730,522,522.1,14.52,14.52,0,9.12
142735,518,517.87,10.36,10.36,0,9.12
142740,515,514.9,6.3,6.3,0,9.12
142745,511,511.12,2.36,2.36,0,9.12
142750,505,505.09,-1.44,-1.44,0,9.12
142755,504,503.89,-5.08,-5.08,0,9.12
142760,499,498.92,-8.53,-8.53,0,9.12
142765,495,495.1,-11.78,-11.78,0,9.12
142770,492,492.07,-14.81,-14.81,0,9.12
142775,491,490.91,-17.62,-17.62,0,9.12
142780,486,485.93,-20.2,-20.2,0,9.12
142785,485,485.07,-22.53,-22.53,0,9.12
142790,482,482.06,-24.62,-24.62,0,9.12
142795,480,479.94,-26.46,-26.46,0,9.12
142800,480,479.95,-28.05,-28.05,0,9.12
142805,479,479.04,-29.41,-29.41,0,9.12
142810,478,478.04,-30.53,-30.53,0,9.12
142815,480,479.97,-31.42,-31.42,0,9.12
142820,479,478.97,-32.1,-32.1,0,9.12
142825,481,481.02,-32.58,-32.58,0,9.12
142830,481,481.02,-32.87,-32.79,0,9.12
142835,482,482.0,-32.99,-32.79,0,9.12
142840,481,480.99,-32.96,-32.79,0,9.12
142845,484,483.99,-32.79,-32.79,0,9.12
142850,486,486.01,-32.5,-32.5,0,9.12
142855,486,486.02,-32.11,-32.11,0,9.12
142860,487,486.99,-31.64,-31.64,0,9.12
