Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
1248955,349,348.96,85.45,85.45,0,10.63
1248960,354,353.46,107.99,107.99,0,10.63
1248965,359,359.04,130.78,130.78,0,10.63
1248970,370,370.53,153.8,153.8,0,10.63
1248975,381,380.97,177.0,177.0,0,10.63
1248980,399,398.49,200.33,200.33,0,10.63
1248985,418,418.03,223.71,223.71,0,10.63
1248990,443,443.51,247.08,247.08,0,10.63
1248995,471,470.97,270.32,270.32,0,10.63
1249000,507,506.5,293.34,293.34,0,10.63
1249005,543,543.03,316.0,316.0,0,10.63
1249010,586,586.49,338.18,338.18,0,10.63
1249015,629,628.97,359.72,359.72,0,10.63
1249020,677,676.52,380.48,380.48,0,10.63
1249025,724,724.03,400.3,400.3,0,10.63
1249030,773,773.47,419.03,419.03,0,10.63
1249035,817,816.97,436.52,436.52,0,10.63
1249040,853,852.52,452.64,452.64,0,10.63
1249045,854,853.99,467.26,467.26,0,10.63
1249050,855,855.44,480.29,480.29,0,10.63
1249055,856,856.02,491.62,491.62,0,10.63
1249060,855,854.61,501.2,501.2,0,10.63
1249065,856,855.97,508.95,508.95,0,10.63
1249070,854,854.35,514.83,514.83,0,10.63
1249075,855,855.04,518.8,518.8,0,10.63
1249080,863,862.7,520.83,518.8,0,10.63
1249085,856,855.95,520.9,518.8,0,10.63
1249090,854,854.24,519.0,518.8,0,10.63
1249095,856,856.06,515.12,515.12,0,10.63
1249100,855,854.83,509.26,509.26,0,10.63
1249105,855,854.93,501.45,501.45,0,10.63
1249110,855,855.11,491.69,491.69,0,10.63
1249115,855,855.09,480.01,480.01,0,10.63
1249120,854,853.96,466.45,466.45,0,10.63
1249125,855,854.9,451.06,451.06,0,10.63
1249130,855,854.98,433.9,433.9,0,10.63
1249135,855,855.11,415.04,415.04,0,10.63
1249140,855,855.09,394.58,394.58,0,10.63
1249145,855,854.88,372.62,372.62,0,10.63
1249150,850,849.85,349.3,349.3,0,10.63
1249155,803,803.1,324.75,324.75,0,10.63
1249160,764,764.17,299.17,299.17,0,10.63
1249165,721,720.9,272.72,272.72,0,10.63
1249170,681,680.82,245.63,245.63,0,10.63
1249175,638,638.1,218.11,218.11,0,10.63
1249180,599,599.19,190.38,190.38,0,10.63
1249185,555,554.9,162.69,162.69,0,10.63
1249190,518,517.8,135.25,135.25,0,10.63
1249195,479,479.1,108.29,108.29,0,10.63
1249200,443,443.22,82.05,82.05,0,10.63
1249205,410,409.9,56.72,56.72,0,10.63
1249210,380,379.78,32.52,32.52,0,10.63
1249215,349,349.1,9.62,9.62,0,10.63
1249220,325,325.24,-11.81,-11.81,0,10.63
1249225,301,300.9,-31.62,-31.62,0,10.63
1249230,297,296.76,-49.69,-49.69,0,10.63
1249235,267,267.1,-65.91,-65.91,0,10.63
1249240,256,256.22,-80.21,-80.21,0,10.63
1249245,247,246.9,-92.54,-92.54,0,10.63
1249250,243,242.81,-102.86,-102.86,0,10.63
1249255,242,242.11,-111.16,-111.16,0,10.63
1249260,247,247.18,-117.48,-117.48,0,10.63
1249265,248,247.89,-121.85,-121.85,0,10.63
1249270,257,256.85,-124.33,-121.85,0,10.63
1249275,263,263.11,-125.02,-121.85,0,10.63
1249280,279,279.14,-124.01,-121.85,0,10.63
1249285,293,292.89,-121.43,-121.43,0,10.63
1249290,310,309.88,-117.41,-117.41,0,10.63
1249295,328,328.11,-112.11,-112.11,0,10.63
1249300,347,347.11,-105.68,-105.68,0,10.63
1249305,364,363.89,-98.28,-98.28,0,10.63
1249310,384,383.9,-90.1,-90.1,0,10.63
1249315,401,401.11,-81.29,-81.29,0,10.63
1249320,422,422.08,-72.04,-72.04,0,10.63
1249325,437,436.89,-62.51,-62.51,0,10.63
1249330,457,456.93,-52.87,-52.87,0,10.63
1249335,471,471.11,-43.28,-43.28,0,10.63
1249340,488,488.06,-33.9,-33.9,0,10.63
1249345,500,499.88,-24.86,-24.86,0,10.63
1249350,512,511.95,-16.29,-16.29,0,10.63
1249355,521,521.11,-8.32,-8.32,0,10.63
1249360,533,533.04,-1.05,-1.05,0,10.63
1249365,537,536.88,5.42,5.42,0,10.63
1249370,544,543.96,11.03,11.03,0,10.63
1249375,546,546.12,15.7,15.7,0,10.63
1249380,548,548.03,19.39,19.39,0,10.63
1249385,548,547.88,22.06,22.06,0,10.63
1249390,549,548.98,23.69,22.34,0,10.63
1249395,546,546.12,24.27,22.34,0,10.63
1249400,545,545.01,23.82,22.34,0,10.63
1249405,538,537.88,22.34,22.34,0,10.63
1249410,537,536.99,19.87,19.87,0,10.63
1249415,529,529.13,16.44,16.44,0,10.63
1249420,523,523.0,12.11,12.11,0,10.63
1249425,514,513.86,6.92,6.92,0,10.63
1249430,509,509.01,0.96,0.96,0,10.63
1249435,500,500.15,-5.72,-5.72,0,10.63
1249440,493,492.98,-13.03,-13.03,0,10.63
1249445,484,483.84,-20.88,-20.88,0,10.63
1249450,477,477.04,-29.2,-29.2,0,10.63
1249455,468,468.18,-37.89,-37.89,0,10.63
1249460,462,461.95,-46.86,-46.86,0,10.63
1249465,454,453.81,-56.01,-56.01,0,10.63
1249470,447,447.06,-65.24,-65.24,0,10.63
1249475,437,437.2,-74.46,-74.46,0,10.63
1249480,432,431.93,-83.56,-83.56,0,10.63
1249485,424,423.79,-92.46,-92.46,0,10.63
