Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
507710,529,528.94,26.23,26.23,0,11.05
507715,537,536.82,29.32,29.32,0,11.05
507720,543,543.08,32.33,32.33,0,11.05
507725,547,547.18,35.22,35.22,0,11.05
507730,559,558.91,37.95,37.95,0,11.05
507735,558,557.82,40.5,40.5,0,11.05
507740,563,563.09,42.84,42.84,0,11.05
507745,567,567.18,44.94,44.94,0,11.05
507750,568,567.91,46.78,46.78,0,11.05
507755,571,570.82,48.35,48.35,0,11.05
507760,572,572.1,49.61,49.61,0,11.05
507765,572,572.18,50.57,50.57,0,11.05
507770,573,572.9,51.22,51.22,0,11.05
507775,571,570.82,51.56,51.22,0,11.05
507780,570,570.1,51.58,51.22,0,11.05
507785,567,567.19,51.29,51.22,0,11.05
507790,566,565.89,50.7,50.7,0,11.05
507795,563,562.81,49.81,49.81,0,11.05
507800,560,560.11,48.65,48.65,0,11.05
507805,557,557.19,47.23,47.23,0,11.05
507810,556,555.89,45.55,45.55,0,11.05
507815,553,552.81,43.66,43.66,0,11.05
507820,550,550.11,41.55,41.55,0,11.05
507825,546,546.19,39.27,39.27,0,11.05
507830,543,542.89,36.82,36.82,0,11.05
507835,540,539.81,34.23,34.23,0,11.05
507840,537,537.11,31.54,31.54,0,11.05
507845,533,533.19,28.75,28.75,0,11.05
507850,531,530.89,25.9,25.9,0,11.05
507855,526,525.81,23.0,23.0,0,11.05
507860,524,524.12,20.09,20.09,0,11.05
507865,522,522.19,17.18,17.18,0,11.05
507870,519,518.88,14.3,14.3,0,11.05
507875,518,517.81,11.45,11.45,0,11.05
507880,513,513.12,8.68,8.68,0,11.05
507885,509,509.19,5.99,5.99,0,11.05
507890,505,504.88,3.39,3.39,0,11.05
507895,504,503.81,0.92,0.92,0,11.05
507900,501,501.12,-1.43,-1.43,0,11.05
507905,500,500.19,-3.64,-3.64,0,11.05
507910,499,498.87,-5.7,-5.7,0,11.05
507915,494,493.81,-7.6,-7.6,0,11.05
507920,493,493.13,-9.33,-9.33,0,11.05
507925,492,492.19,-10.89,-10.89,0,11.05
507930,490,489.87,-12.29,-12.29,0,11.05
507935,489,488.8,-13.51,-13.51,0,11.05
507940,489,489.13,-14.56,-14.56,0,11.05
507945,488,488.2,-15.44,-15.44,0,11.05
507950,491,490.87,-16.17,-16.17,0,11.05
507955,489,488.79,-16.74,-16.74,0,11.05
507960,490,490.13,-17.17,-17.17,0,11.05
507965,490,490.22,-17.47,-17.47,0,11.05
507970,491,490.87,-17.65,-17.6,0,11.05
507975,491,490.78,-17.72,-17.6,0,11.05
507980,493,493.13,-17.7,-17.6,0,11.05
507985,495,495.23,-17.6,-17.6,0,11.05
507990,496,495.88,-17.43,-17.43,0,11.05
507995,496,495.75,-17.21,-17.21,0,11.05
508000,497,497.12,-16.95,-16.95,0,11.05
508005,497,497.26,-16.66,-16.66,0,11.05
508010,498,497.88,-16.37,-16.37,0,11.05
508015,511,510.74,-16.08,-16.08,0,11.05
508020,499,499.12,-15.8,-15.8,0,11.05
508025,500,500.25,-15.54,-15.54,0,11.05
