Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
4371465,585,584.99,19.4,13.32,0,8.94
4371470,584,584.12,17.45,13.32,0,8.94
4371475,586,586.01,15.42,13.32,0,8.94
4371480,584,583.88,13.32,13.32,0,8.94
4371485,584,583.99,11.12,11.12,0,8.94
4371490,581,581.11,8.84,8.84,0,8.94
4371495,579,579.02,6.48,6.48,0,8.94
4371500,576,575.89,4.03,4.03,0,8.94
4371505,574,573.98,1.5,1.5,0,8.94
4371510,569,569.11,-1.11,-1.11,0,8.94
4371515,565,565.02,-3.79,-3.79,0,8.94
4371520,560,559.89,-6.53,-6.53,0,8.94
4371525,557,556.98,-9.32,-9.32,0,8.94
4371530,553,553.11,-12.15,-12.15,0,8.94
4371535,549,549.02,-15.02,-15.02,0,8.94
4371540,545,544.89,-17.89,-17.89,0,8.94
4371545,543,542.98,-20.77,-20.77,0,8.94
4371550,536,536.11,-23.63,-23.63,0,8.94
4371555,533,533.01,-26.47,-26.47,0,8.94
4371560,530,529.89,-29.25,-29.25,0,8.94
4371565,524,523.99,-31.98,-31.98,0,8.94
4371570,520,520.11,-34.63,-34.63,0,8.94
4371575,517,517.0,-37.19,-37.19,0,8.94
4371580,511,510.9,-39.63,-39.63,0,8.94
4371585,510,510.0,-41.95,-41.95,0,8.94
4371590,504,504.1,-44.14,-44.14,0,8.94
4371595,500,499.99,-46.17,-46.17,0,8.94
4371600,497,496.9,-48.04,-48.04,0,8.94
4371605,494,494.01,-49.74,-49.74,0,8.94
4371610,491,491.1,-51.26,-51.26,0,8.94
4371615,490,489.98,-52.6,-52.6,0,8.94
4371620,487,486.9,-53.74,-53.74,0,8.94
4371625,486,486.03,-54.7,-54.7,0,8.94
4371630,484,484.1,-55.46,-55.46,0,8.94
4371635,484,483.97,-56.04,-56.04,0,8.94
4371640,484,483.91,-56.44,-56.44,0,8.94
4371645,484,484.04,-56.67,-56.44,0,8.94
4371650,484,484.09,-56.73,-56.44,0,8.94
4371655,486,485.95,-56.63,-56.44,0,8.94
4371660,487,486.91,-56.39,-56.39,0,8.94
4371665,488,488.05,-56.03,-56.03,0,8.94
4371670,487,487.08,-55.55,-55.55,0,8.94
4371675,490,489.94,-54.97,-54.97,0,8.94
4371680,490,489.93,-54.31,-54.31,0,8.94
4371685,493,493.07,-53.58,-53.58,0,8.94
4371690,492,492.06,-52.8,-52.8,0,8.94
4371695,495,494.92,-51.98,-51.98,0,8.94
4371700,494,493.94,-51.14,-51.14,0,8.94
4371705,496,496.08,-50.28,-50.28,0,8.94
4371710,495,495.05,-49.44,-49.44,0,8.94
4371715,498,497.91,-48.6,-48.6,0,8.94
4371720,495,494.96,-47.79,-47.79,0,8.94
4371725,497,497.1,-47.02,-47.02,0,8.94
4371730,496,496.03,-46.29,-46.29,0,8.94
4371735,497,496.9,-45.61,-45.61,0,8.94
4371740,496,495.97,-44.99,-44.99,0,8.94
4371745,496,496.11,-44.43,-44.43,0,8.94
4371750,494,494.02,-43.93,-43.93,0,8.94
4371755,497,496.89,-43.49,-43.49,0,8.94
4371760,493,492.99,-43.13,-43.13,0,8.94
4371765,495,495.11,-42.83,-42.83,0,8.94
4371770,492,492.0,-42.6,-42.6,0,8.94
