Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
453715,512,512.07,0.9,0.9,0,6.46
453720,515,514.81,0.97,0.97,0,6.46
453725,514,513.92,1.02,1.02,0,6.46
453730,515,515.19,1.06,1.06,0,6.46
453735,513,513.09,1.09,1.06,0,6.46
453740,515,514.81,1.1,1.06,0,6.46
453745,513,512.91,1.09,1.06,0,6.46
453750,513,513.19,1.06,1.06,0,6.46
453755,513,513.1,1.01,1.01,0,6.46
453760,513,512.81,0.95,0.95,0,6.46
453765,513,512.9,0.86,0.86,0,6.46
453770,512,512.19,0.76,0.76,0,6.46
453775,513,513.1,0.63,0.63,0,6.46
453780,514,513.82,0.49,0.49,0,6.46
453785,513,512.89,0.32,0.32,0,6.46
453790,514,514.18,0.14,0.14,0,6.46
453795,511,511.11,-0.05,-0.05,0,6.46
453800,513,512.82,-0.26,-0.26,0,6.46
453805,510,509.88,-0.49,-0.49,0,6.46
453810,512,512.17,-0.72,-0.72,0,6.46
453815,510,510.12,-0.97,-0.97,0,6.46
453820,511,510.83,-1.23,-1.23,0,6.46
453825,510,509.87,-1.49,-1.49,0,6.46
453830,510,510.17,-1.75,-1.75,0,6.46
453835,508,508.13,-2.02,-2.02,0,6.46
453840,509,508.83,-2.29,-2.29,0,6.46
453845,508,507.86,-2.55,-2.55,0,6.46
453850,507,507.17,-2.82,-2.82,0,6.46
453855,507,507.14,-3.08,-3.08,0,6.46
453860,508,507.83,-3.34,-3.34,0,6.46
453865,507,506.86,-3.59,-3.59,0,6.46
453870,508,508.16,-3.83,-3.83,0,6.46
453875,506,506.14,-4.07,-4.07,0,6.46
453880,508,507.84,-4.3,-4.3,0,6.46
453885,514,513.86,-4.53,-4.53,0,6.46
453890,505,505.16,-4.75,-4.75,0,6.46
453895,505,505.13,-4.96,-4.96,0,6.46
453900,507,506.85,-5.16,-5.16,0,6.46
453905,506,505.89,-5.36,-5.36,0,6.46
453910,507,507.14,-5.55,-5.55,0,6.46
453915,505,505.08,-5.73,-5.73,0,6.46
453920,506,505.87,-5.9,-5.9,0,6.46
453925,505,504.94,-6.06,-6.06,0,6.46
453930,507,507.13,-6.21,-6.21,0,6.46
453935,506,506.04,-6.35,-6.35,0,6.46
453940,507,506.87,-6.49,-6.49,0,6.46
453945,506,505.98,-6.62,-6.62,0,6.46
453950,506,506.12,-6.74,-6.74,0,6.46
453955,506,506.0,-6.85,-6.85,0,6.46
453960,507,506.89,-6.96,-6.96,0,6.46
453965,506,506.03,-7.06,-7.06,0,6.46
453970,507,507.11,-7.14,-7.14,0,6.46
453975,506,505.95,-7.22,-7.22,0,6.46
453980,506,505.9,-7.29,-7.29,0,6.46
453985,505,505.07,-7.34,-7.34,0,6.46
453990,507,507.1,-7.39,-7.39,0,6.46
453995,507,506.91,-7.41,-7.4,0,6.46
454000,507,506.9,-7.43,-7.4,0,6.46
454005,507,507.1,-7.42,-7.4,0,6.46
454010,508,508.1,-7.4,-7.4,0,6.46
454015,507,506.88,-7.35,-7.35,0,6.46
454020,508,507.9,-7.28,-7.28,0,6.46
454025,506,506.14,-7.18,-7.18,0,6.46
454030,508,508.1,-7.06,-7.06,0,6.46
454035,508,507.85,-6.89,-6.89,0,6.46
454040,507,506.9,-6.7,-6.7,0,6.46
454045,506,506.17,-6.46,-6.46,0,6.46
454050,507,507.1,-6.18,-6.18,0,6.46
454055,508,507.82,-5.85,-5.85,0,6.46
454060,508,507.9,-5.47,-5.47,0,6.46
454065,507,507.19,-5.04,-5.04,0,6.46
454070,507,507.1,-4.56,-4.56,0,6.46
454075,508,507.8,-4.02,-4.02,0,6.46
454080,507,506.9,-3.41,-3.41,0,6.46
454085,506,506.21,-2.75,-2.75,0,6.46
454090,507,507.1,-2.03,-2.03,0,6.46
454095,507,506.79,-1.25,-1.25,0,6.46
454100,507,506.9,-0.41,-0.41,0,6.46
454105,507,507.22,0.49,0.49,0,6.46
454110,508,508.1,1.44,1.44,0,6.46
454115,508,507.78,2.44,2.44,0,6.46
454120,511,510.9,3.48,3.48,0,6.46
454125,511,511.23,4.55,4.55,0,6.46
454130,514,514.1,5.64,5.64,0,6.46
454135,516,515.76,6.75,6.75,0,6.46
454140,518,517.9,7.87,7.87,0,6.46
454145,520,520.24,8.98,8.98,0,6.46
454150,524,524.1,10.06,10.06,0,6.46
454155,526,525.75,11.12,11.12,0,6.46
454160,528,527.89,12.13,12.13,0,6.46
454165,529,529.25,13.09,13.09,0,6.46
454170,532,532.11,13.98,13.98,0,6.46
454175,534,533.74,14.79,14.79,0,6.46
454180,535,534.88,15.52,15.52,0,6.46
454185,535,535.26,16.16,16.16,0,6.46
454190,537,537.12,16.7,16.7,0,6.46
454195,536,535.74,17.13,17.13,0,6.46
454200,538,537.87,17.46,17.46,0,6.46
454205,536,536.27,17.68,17.68,0,6.46
454210,536,536.13,17.79,17.68,0,6.46
454215,536,535.73,17.79,17.68,0,6.46
454220,535,534.87,17.69,17.68,0,6.46
454225,533,533.27,17.49,17.49,0,6.46
454230,534,534.14,17.18,17.18,0,6.46
454235,533,532.73,16.79,16.79,0,6.46
454240,531,530.86,16.31,16.31,0,6.46
