Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
775015,511,510.91,-4.32,-4.32,0,6.5
775020,511,510.98,-4.85,-4.85,0,6.5
775025,510,510.09,-5.38,-5.38,0,6.5
775030,509,509.02,-5.91,-5.91,0,6.5
775035,509,508.91,-6.45,-6.45,0,6.5
775040,508,507.99,-6.98,-6.98,0,6.5
775045,508,508.1,-7.5,-7.5,0,6.5
775050,507,507.01,-8.02,-8.02,0,6.5
775055,507,506.9,-8.52,-8.52,0,6.5
775060,507,507.0,-9.01,-9.01,0,6.5
775065,506,506.11,-9.49,-9.49,0,6.5
775070,505,505.0,-9.94,-9.94,0,6.5
775075,505,504.89,-10.37,-10.37,0,6.5
775080,503,503.01,-10.78,-10.78,0,6.5
775085,503,503.12,-11.16,-11.16,0,6.5
775090,503,502.99,-11.52,-11.52,0,6.5
775095,503,502.88,-11.84,-11.84,0,6.5
775100,502,502.01,-12.12,-12.12,0,6.5
775105,502,502.13,-12.37,-12.37,0,6.5
775110,502,501.98,-12.58,-12.58,0,6.5
775115,503,502.87,-12.75,-12.75,0,6.5
775120,503,503.02,-12.88,-12.88,0,6.5
775125,501,501.13,-12.96,-12.93,0,6.5
775130,509,508.98,-13.0,-12.93,0,6.5
775135,503,502.87,-12.99,-12.93,0,6.5
775140,505,505.01,-12.93,-12.93,0,6.5
775145,506,506.13,-12.82,-12.82,0,6.5
775150,503,502.99,-12.65,-12.65,0,6.5
775155,504,503.87,-12.43,-12.43,0,6.5
775160,504,504.0,-12.15,-12.15,0,6.5
775165,504,504.14,-11.8,-11.8,0,6.5
775170,505,505.01,-11.39,-11.39,0,6.5
775175,506,505.86,-10.91,-10.91,0,6.5
775180,505,504.99,-10.35,-10.35,0,6.5
775185,505,505.14,-9.72,-9.72,0,6.5
775190,505,505.02,-9.01,-9.01,0,6.5
775195,505,504.85,-8.23,-8.23,0,6.5
775200,505,504.97,-7.36,-7.36,0,6.5
775205,505,505.15,-6.41,-6.41,0,6.5
775210,506,506.03,-5.37,-5.37,0,6.5
775215,506,505.85,-4.26,-4.26,0,6.5
775220,506,505.96,-3.06,-3.06,0,6.5
775225,507,507.15,-1.79,-1.79,0,6.5
775230,506,506.05,-0.44,-0.44,0,6.5
775235,506,505.84,0.97,0.97,0,6.5
775240,507,506.94,2.45,2.45,0,6.5
775245,509,509.17,3.97,3.97,0,6.5
775250,510,510.07,5.54,5.54,0,6.5
775255,512,511.83,7.14,7.14,0,6.5
775260,513,512.92,8.75,8.75,0,6.5
775265,517,517.18,10.36,10.36,0,6.5
775270,518,518.09,11.95,11.95,0,6.5
775275,523,522.81,13.51,13.51,0,6.5
775280,528,527.9,15.01,15.01,0,6.5
775285,532,532.21,16.43,16.43,0,6.5
775290,536,536.1,17.77,17.77,0,6.5
775295,541,540.78,18.98,18.98,0,6.5
775300,544,543.89,20.07,20.07,0,6.5
775305,530,530.22,21.01,21.01,0,6.5
775310,547,547.11,21.8,21.8,0,6.5
775315,549,548.8,22.4,22.4,0,6.5
775320,550,549.88,22.83,22.83,0,6.5
775325,553,553.17,23.06,22.83,0,6.5
775330,550,550.12,23.1,22.83,0,6.5
775335,549,548.86,22.93,22.83,0,6.5
775340,549,548.88,22.58,22.58,0,6.5
775345,547,547.12,22.03,22.03,0,6.5
775350,544,544.12,21.3,21.3,0,6.5
775355,541,540.9,20.39,20.39,0,6.5
775360,539,538.87,19.33,19.33,0,6.5
775365,536,536.08,18.12,18.12,0,6.5
775370,533,533.13,16.77,16.77,0,6.5
775375,528,527.93,15.32,15.32,0,6.5
775380,527,526.87,13.77,13.77,0,6.5
775385,524,524.06,12.15,12.15,0,6.5
775390,522,522.13,10.48,10.48,0,6.5
775395,517,516.95,8.76,8.76,0,6.5
775400,516,515.87,7.03,7.03,0,6.5
775405,513,513.04,5.3,5.3,0,6.5
775410,510,510.14,3.59,3.59,0,6.5
775415,509,508.97,1.91,1.91,0,6.5
775420,507,506.86,0.29,0.29,0,6.5
775425,506,506.02,-1.27,-1.27,0,6.5
775430,504,504.14,-2.76,-2.76,0,6.5
775435,504,503.99,-4.16,-4.16,0,6.5
775440,502,501.85,-5.46,-5.46,0,6.5
775445,502,502.0,-6.65,-6.65,0,6.5
775450,500,500.15,-7.74,-7.74,0,6.5
775455,501,501.01,-8.71,-8.71,0,6.5
775460,499,498.85,-9.56,-9.56,0,6.5
775465,500,499.99,-10.29,-10.29,0,6.5
775470,499,499.15,-10.89,-10.89,0,6.5
775475,498,498.02,-11.37,-11.37,0,6.5
775480,498,497.84,-11.74,-11.74,0,6.5
775485,502,501.97,-11.98,-11.98,0,6.5
775490,498,498.16,-12.12,-11.98,0,6.5
775495,499,499.03,-12.14,-11.98,0,6.5
775500,501,500.83,-12.07,-11.98,0,6.5
775505,500,499.98,-11.89,-11.89,0,6.5
775510,500,500.17,-11.63,-11.63,0,6.5
775515,499,499.02,-11.29,-11.29,0,6.5
775520,502,501.83,-10.88,-10.88,0,6.5
775525,503,502.99,-10.41,-10.41,0,6.5
775530,501,501.17,-9.88,-9.88,0,6.5
775535,504,504.0,-9.32,-9.32,0,6.5
775540,506,505.84,-8.72,-8.72,0,6.5
775545,505,505.01,-8.09,-8.09,0,6.5
775550,508,508.16,-7.46,-7.46,0,6.5
775555,508,507.98,-6.83,-6.83,0,6.5
775560,510,509.85,-6.2,-6.2,0,6.5
775565,510,510.03,-5.6,-5.6,0,6.5
775570,513,513.15,-5.02,-5.02,0,6.5
775575,512,511.97,-4.48,-4.48,0,6.5
775580,514,513.86,-3.98,-3.98,0,6.5
775585,513,513.04,-3.52,-3.52,0,6.5
775590,515,515.14,-3.13,-3.13,0,6.5
775595,514,513.95,-2.79,-2.79,0,6.5
775600,516,515.86,-2.51,-2.51,0,6.5
775605,513,513.05,-2.29,-2.29,0,6.5
775610,513,513.13,-2.14,-2.14,0,6.5
775615,513,512.94,-2.05,-2.14,0,6.5
775620,513,512.87,-2.02,-2.14,0,6.5
775625,511,511.06,-2.06,-2.14,0,6.5
775630,512,512.12,-2.15,-2.15,0,6.5
775635,512,511.93,-2.3,-2.3,0,6.5
775640,511,510.89,-2.5,-2.5,0,6.5
775645,508,508.07,-2.75,-2.75,0,6.5
775650,510,510.11,-3.04,-3.04,0,6.5
775655,509,508.94,-3.37,-3.37,0,6.5
775660,508,507.9,-3.74,-3.74,0,6.5
775665,508,508.06,-4.13,-4.13,0,6.5
775670,506,506.1,-4.55,-4.55,0,6.5
775675,507,506.95,-4.99,-4.99,0,6.5
775680,506,505.91,-5.44,-5.44,0,6.5
775685,506,506.05,-5.89,-5.89,0,6.5
775690,505,505.08,-6.36,-6.36,0,6.5
775695,505,504.96,-6.82,-6.82,0,6.5
775700,507,506.92,-7.27,-7.27,0,6.5
775705,505,505.04,-7.71,-7.71,0,6.5
775710,504,504.06,-8.14,-8.14,0,6.5
775715,505,504.97,-8.54,-8.54,0,6.5
775720,503,502.95,-8.92,-8.92,0,6.5
775725,504,504.03,-9.27,-9.27,0,6.5
775730,504,504.04,-9.58,-9.58,0,6.5
775735,505,504.98,-9.86,-9.86,0,6.5
775740,503,502.97,-10.09,-10.09,0,6.5
775745,504,504.02,-10.27,-10.27,0,6.5
775750,506,506.02,-10.39,-10.39,0,6.5
775755,505,504.99,-10.46,-10.39,0,6.5
775760,505,504.98,-10.47,-10.39,0,6.5
775765,504,504.0,-10.41,-10.39,0,6.5
775770,504,504.01,-10.28,-10.28,0,6.5
775775,505,505.01,-10.07,-10.07,0,6.5
775780,504,503.99,-9.78,-9.78,0,6.5
775785,503,502.98,-9.4,-9.4,0,6.5
775790,504,504.0,-8.94,-8.94,0,6.5
775795,503,503.04,-8.38,-8.38,0,6.5
775800,503,503.0,-7.72,-7.72,0,6.5
775805,503,502.95,-6.97,-6.97,0,6.5
775810,504,504.0,-6.12,-6.12,0,6.5
775815,503,503.07,-5.16,-5.16,0,6.5
775820,504,504.0,-4.11,-4.11,0,6.5
775825,503,502.92,-2.96,-2.96,0,6.5
775830,503,502.99,-1.71,-1.71,0,6.5
775835,504,504.1,-0.38,-0.38,0,6.5
775840,502,502.01,1.04,1.04,0,6.5
775845,504,503.88,2.53,2.53,0,6.5
775850,505,504.99,4.08,4.08,0,6.5
775855,508,508.14,5.69,5.69,0,6.5
775860,510,510.01,7.32,7.32,0,6.5
775865,513,512.84,8.98,8.98,0,6.5
775870,517,516.99,10.64,10.64,0,6.5
775875,521,521.18,12.28,12.28,0,6.5
775880,526,526.01,13.87,13.87,0,6.5
775885,530,529.8,15.41,15.41,0,6.5
775890,534,533.99,16.86,16.86,0,6.5
775895,538,538.22,18.2,18.2,0,6.5
775900,540,540.02,19.43,19.43,0,6.5
775905,545,544.76,20.52,20.52,0,6.5
775910,546,545.98,21.45,21.45,0,6.5
775915,547,547.26,22.21,22.21,0,6.5
775920,549,549.02,22.79,22.79,0,6.5
775925,548,547.71,23.19,23.19,0,6.5
775930,550,549.98,23.4,23.19,0,6.5
775935,547,547.31,23.42,23.19,0,6.5
775940,545,545.01,23.24,23.19,0,6.5
775945,548,547.67,22.88,22.88,0,6.5
775950,543,542.99,22.34,22.34,0,6.5
775955,543,543.34,21.64,21.64,0,6.5
775960,541,541.0,20.77,20.77,0,6.5
775965,537,536.64,19.76,19.76,0,6.5
775970,534,534.0,18.62,18.62,0,6.5
775975,517,517.37,17.37,17.37,0,6.5
775980,527,527.0,16.03,16.03,0,6.5
775985,526,525.63,14.61,14.61,0,6.5
775990,523,523.01,13.13,13.13,0,6.5
775995,519,519.35,11.6,11.6,0,6.5
776000,519,518.99,10.05,10.05,0,6.5
776005,518,517.67,8.49,8.49,0,6.5
776010,514,514.02,6.93,6.93,0,6.5
776015,511,511.3,5.4,5.4,0,6.5
776020,512,511.98,3.89,3.89,0,6.5
776025,508,507.73,2.43,2.43,0,6.5
776030,508,508.02,1.03,1.03,0,6.5
776035,510,510.25,-0.31,-0.31,0,6.5
776040,507,506.98,-1.57,-1.57,0,6.5
776045,505,504.77,-2.74,-2.74,0,6.5
