File,Battiti_Totali,Durata_Secondi,BPM_Medio,SDNN_ms,RMSSD_ms,pNN50_percent,LF_Power_ms2,HF_Power_ms2,Rapporto_LF_HF,Poincare_SD1_ms,Poincare_SD2_ms
intervallo_2.csv,154,118.7,77.37,56.3,62.77,40.79,1569.77,1616.03,0.97,44.53,66.0
intervallo_3.csv,172,120.2,85.36,21.23,18.91,0.0,142.87,139.13,1.03,13.41,26.87
intervallo_5.csv,207,120.1,102.89,37.97,26.82,4.88,412.75,479.35,0.86,19.01,50.23
intervallo_6.csv,198,119.8,98.69,34.51,27.59,5.61,356.91,163.53,2.18,19.56,44.72
intervallo_7.csv,203,119.6,101.32,37.31,31.87,3.48,355.73,247.3,1.44,22.58,47.69
intervallo_8.csv,200,119.0,100.35,33.66,24.3,3.03,264.05,227.87,1.16,17.23,44.38
intervallo_9.csv,199,120.5,98.59,34.91,21.06,0.51,135.52,259.95,0.52,14.93,47.06
intervallo_10.csv,195,120.3,96.72,33.94,23.02,3.63,149.99,127.08,1.18,16.32,45.14
intervallo_11.csv,159,108.3,87.54,63.95,56.03,31.21,338.27,1719.7,0.2,39.75,81.24
intervallo_14.csv,142,117.5,72.0,56.82,69.19,46.43,929.09,1491.15,0.62,49.1,63.61
