File,Battiti_Totali,Durata_Secondi,BPM_Medio,SDNN_ms,RMSSD_ms,pNN50_percent,LF_Power_ms2,HF_Power_ms2,Rapporto_LF_HF,Poincare_SD1_ms,Poincare_SD2_ms
140526.1.csv,154,146.2,62.78,49.07,38.09,18.42,694.41,742.64,0.94,27.02,63.92
140526.2.csv,152,116.8,77.6,44.76,40.82,22.0,761.88,859.87,0.89,28.96,56.28
140526.3.csv,166,116.2,85.23,19.45,13.65,0.0,92.73,105.8,0.88,9.68,25.74
140526.4.csv,181,117.9,91.61,20.41,9.18,0.0,230.18,54.43,4.23,6.51,28.12
140526.5.csv,206,118.6,103.74,35.37,22.92,3.43,488.38,361.39,1.35,16.23,47.32
140526.6.csv,206,124.3,98.92,31.61,22.85,2.45,327.35,132.6,2.47,16.18,41.67
140526.7.csv,195,114.8,101.35,32.48,27.98,6.74,416.35,146.34,2.85,19.83,41.43
140526.8.csv,195,115.7,100.58,31.87,18.58,1.55,192.78,183.91,1.05,13.17,43.11
140526.9.csv,192,116.1,98.69,32.22,18.01,1.05,145.67,135.21,1.08,12.77,43.74
140526.10.csv,187,115.1,96.99,28.13,16.34,1.08,218.34,68.91,3.17,11.58,38.06
140526.11.csv,172,118.6,86.54,66.88,54.61,29.41,475.21,1158.68,0.41,38.73,86.29
140526.12.csv,184,118.0,93.05,58.2,33.56,10.44,512.13,441.56,1.16,23.79,78.8
140526.13.csv,174,116.3,89.23,58.26,43.6,24.42,647.07,961.07,0.67,30.92,76.37
140526.14.csv,141,117.2,71.64,50.0,46.58,30.94,792.99,697.23,1.14,33.05,62.51
140526.15.csv,138,115.1,71.42,48.39,44.85,24.26,843.43,494.92,1.7,31.83,60.58
140526.16.csv,138,115.8,70.98,41.2,38.5,16.18,729.97,493.69,1.48,27.32,51.47
