File,Battiti_Totali,Durata_Secondi,BPM_Medio,SDNN_ms,RMSSD_ms,pNN50_percent,LF_Power_ms2,HF_Power_ms2,Rapporto_LF_HF,Poincare_SD1_ms,Poincare_SD2_ms
140526.2.csv,152,116.8,77.6,44.76,40.82,22.0,761.88,859.87,0.89,28.96,56.28
140526.3.csv,166,116.2,85.23,19.45,13.65,0.0,92.73,105.8,0.88,9.68,25.74
140526.5.csv,206,118.6,103.74,35.37,22.92,3.43,488.38,361.39,1.35,16.23,47.32
140526.6.csv,206,124.3,98.92,31.61,22.85,2.45,327.35,132.6,2.47,16.18,41.67
140526.7.csv,195,114.8,101.35,32.48,27.98,6.74,416.35,146.34,2.85,19.83,41.43
140526.8.csv,195,115.7,100.58,31.87,18.58,1.55,192.78,183.91,1.05,13.17,43.11
140526.9.csv,192,116.1,98.69,32.22,18.01,1.05,145.67,135.21,1.08,12.77,43.74
140526.10.csv,187,115.1,96.99,28.13,16.34,1.08,218.34,68.91,3.17,11.58,38.06
140526.11.csv,172,118.6,86.54,66.88,54.61,29.41,475.21,1158.68,0.41,38.73,86.29
140526.14.csv,141,117.2,71.64,50.0,46.58,30.94,792.99,697.23,1.14,33.05,62.51
