Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
587380,513,513.01,0.2,0.0,0,-0.32
587385,511,511.06,0.13,0.0,0,-0.32
587390,512,511.99,0.06,0.0,0,-0.32
587395,513,512.95,-0.02,-0.02,0,-0.32
587400,512,512.01,-0.09,-0.09,0,-0.32
587405,513,513.04,-0.17,-0.17,0,-0.32
587410,512,511.99,-0.24,-0.24,0,-0.32
587415,512,511.96,-0.32,-0.32,0,-0.32
587420,512,512.01,-0.39,-0.39,0,-0.32
587425,512,512.03,-0.46,-0.46,0,-0.32
587430,514,513.99,-0.52,-0.52,0,-0.32
587435,512,511.97,-0.59,-0.59,0,-0.32
587440,512,512.01,-0.64,-0.64,0,-0.32
587445,512,512.03,-0.7,-0.7,0,-0.32
587450,512,511.99,-0.74,-0.74,0,-0.32
587455,513,512.98,-0.78,-0.78,0,-0.32
587460,512,512.0,-0.81,-0.81,0,-0.32
587465,512,512.01,-0.84,-0.84,0,-0.32
587470,511,511.0,-0.85,-0.84,0,-0.32
587475,511,510.99,-0.86,-0.84,0,-0.32
587480,512,512.0,-0.86,-0.84,0,-0.32
587485,512,512.0,-0.84,-0.84,0,-0.32
587490,512,512.01,-0.81,-0.81,0,-0.32
587495,510,510.0,-0.78,-0.78,0,-0.32
587500,512,511.99,-0.73,-0.73,0,-0.32
587505,511,511.0,-0.66,-0.66,0,-0.32
587510,512,512.01,-0.59,-0.59,0,-0.32
587515,512,512.0,-0.51,-0.51,0,-0.32
587520,512,511.99,-0.41,-0.41,0,-0.32
587525,511,510.99,-0.3,-0.3,0,-0.32
587530,512,512.01,-0.18,-0.18,0,-0.32
587535,512,512.01,-0.05,-0.05,0,-0.32
587540,512,511.98,0.08,0.08,0,-0.32
587545,512,511.99,0.23,0.23,0,-0.32
587550,512,512.02,0.38,0.38,0,-0.32
587555,512,512.02,0.54,0.54,0,-0.32
587560,512,511.98,0.7,0.7,0,-0.32
587565,512,511.98,0.86,0.86,0,-0.32
587570,512,512.02,1.03,1.03,0,-0.32
587575,512,512.03,1.19,1.19,0,-0.32
587580,512,511.98,1.35,1.35,0,-0.32
587585,514,513.97,1.5,1.5,0,-0.32
587590,513,513.03,1.65,1.65,0,-0.32
587595,516,516.03,1.78,1.78,0,-0.32
587600,516,515.97,1.89,1.89,0,-0.32
587605,517,516.96,1.99,1.99,0,-0.32
587610,516,516.03,2.08,2.08,0,-0.32
587615,516,516.04,2.14,2.14,0,-0.32
587620,516,515.97,2.17,2.15,0,-0.32
587625,516,515.96,2.19,2.15,0,-0.32
587630,516,516.03,2.18,2.15,0,-0.32
587635,516,516.05,2.15,2.15,0,-0.32
587640,516,515.97,2.09,2.09,0,-0.32
587645,517,516.95,2.01,2.01,0,-0.32
587650,516,516.03,1.91,1.91,0,-0.32
587655,516,516.05,1.79,1.79,0,-0.32
587660,516,515.97,1.64,1.64,0,-0.32
587665,515,514.95,1.48,1.48,0,-0.32
587670,514,514.03,1.31,1.31,0,-0.32
587675,513,513.05,1.12,1.12,0,-0.32
587680,514,513.98,0.92,0.92,0,-0.32
587685,513,512.95,0.71,0.71,0,-0.32
587690,513,513.02,0.51,0.51,0,-0.32
587695,512,512.05,0.3,0.3,0,-0.32
587700,512,511.98,0.09,0.09,0,-0.32
587705,511,510.96,-0.11,-0.11,0,-0.32
587710,511,511.01,-0.31,-0.31,0,-0.32
587715,510,510.04,-0.49,-0.49,0,-0.32
587720,510,509.99,-0.66,-0.66,0,-0.32
587725,510,509.96,-0.82,-0.82,0,-0.32
587730,509,509.01,-0.96,-0.96,0,-0.32
587735,510,510.04,-1.08,-1.08,0,-0.32
587740,509,509.0,-1.19,-1.19,0,-0.32
587745,509,508.96,-1.28,-1.28,0,-0.32
587750,510,510.0,-1.34,-1.34,0,-0.32
587755,509,509.04,-1.39,-1.39,0,-0.32
587760,510,510.0,-1.42,-1.42,0,-0.32
587765,511,510.96,-1.44,-1.42,0,-0.32
587770,511,511.0,-1.44,-1.42,0,-0.32
587775,511,511.03,-1.42,-1.42,0,-0.32
587780,511,511.0,-1.39,-1.39,0,-0.32
587785,512,511.97,-1.35,-1.35,0,-0.32
587790,512,512.0,-1.3,-1.3,0,-0.32
587795,512,512.03,-1.24,-1.24,0,-0.32
587800,511,511.0,-1.18,-1.18,0,-0.32
587805,510,509.98,-1.1,-1.1,0,-0.32
587810,511,511.0,-1.03,-1.03,0,-0.32
587815,511,511.02,-0.94,-0.94,0,-0.32
587820,512,512.0,-0.86,-0.86,0,-0.32
587825,512,511.98,-0.78,-0.78,0,-0.32
587830,512,512.0,-0.69,-0.69,0,-0.32
587835,511,511.02,-0.61,-0.61,0,-0.32
587840,512,512.0,-0.53,-0.53,0,-0.32
587845,513,512.98,-0.46,-0.46,0,-0.32
587850,512,512.0,-0.39,-0.39,0,-0.32
587855,514,514.01,-0.33,-0.33,0,-0.32
587860,514,514.0,-0.28,-0.28,0,-0.32
587865,512,511.99,-0.23,-0.23,0,-0.32
587870,512,512.0,-0.19,-0.19,0,-0.32
587875,513,513.01,-0.17,-0.17,0,-0.32
587880,512,512.01,-0.15,-0.15,0,-0.32
587885,512,511.99,-0.13,-0.15,0,-0.32
587890,512,511.98,-0.13,-0.15,0,-0.32
587895,513,513.02,-0.14,-0.15,0,-0.32
587900,512,512.02,-0.15,-0.15,0,-0.32
587905,512,511.98,-0.17,-0.17,0,-0.32
587910,512,511.97,-0.2,-0.2,0,-0.32
587915,512,512.02,-0.23,-0.23,0,-0.32
587920,511,511.03,-0.27,-0.27,0,-0.32
587925,512,511.97,-0.31,-0.31,0,-0.32
