File,Battiti_Totali,Durata_Secondi,BPM_Medio,SDNN_ms,RMSSD_ms,pNN50_percent,LF_Power_ms2,HF_Power_ms2,Rapporto_LF_HF,Poincare_SD1_ms,Poincare_SD2_ms
intervallo_1.csv,156,120.7,77.08,77.41,100.25,24.34,635.54,843.65,0.75,71.12,83.22
intervallo_2.csv,154,119.9,76.56,86.07,114.0,49.67,1414.83,6937.31,0.2,80.88,90.96
intervallo_3.csv,172,120.2,85.37,22.39,22.32,1.76,157.91,133.4,1.18,15.83,27.42
intervallo_4.csv,98,118.8,48.98,297.99,396.43,52.17,9134.31,88932.79,0.1,282.34,312.85
intervallo_5.csv,207,120.1,102.89,37.85,25.89,4.39,412.41,491.07,0.84,18.35,50.28
intervallo_6.csv,198,119.8,98.68,35.18,29.36,6.12,347.18,171.4,2.03,20.81,45.19
intervallo_7.csv,203,120.4,100.65,65.65,65.53,3.48,397.53,228.34,1.74,46.44,80.39
intervallo_8.csv,200,120.1,99.42,68.26,90.29,5.05,263.07,232.96,1.13,64.0,72.26
intervallo_9.csv,199,120.5,98.56,34.74,20.68,1.52,137.06,239.69,0.57,14.65,46.89
intervallo_10.csv,195,120.3,96.75,35.27,26.42,3.63,153.59,114.05,1.35,18.73,46.23
intervallo_11.csv,158,109.8,85.78,126.82,169.75,51.92,3138.98,6708.93,0.47,120.42,132.9
intervallo_12.csv,147,120.0,72.97,257.9,347.15,65.47,26134.42,41388.19,0.63,246.35,268.95
intervallo_13.csv,170,119.9,84.54,143.66,210.13,48.8,7057.09,7589.57,0.93,149.04,138.08
intervallo_14.csv,141,120.1,69.94,93.22,147.19,72.59,1109.27,2138.4,0.52,104.46,80.43
intervallo_15.csv,148,120.2,73.37,210.48,307.28,81.12,4580.15,17049.79,0.27,218.03,202.65
intervallo_16.csv,170,120.1,84.43,190.16,261.14,82.14,8004.23,14018.21,0.57,185.21,194.99
