Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
347070,609,609.02,-29.37,-29.37,0,10.15
347075,591,591.21,-42.14,-42.14,0,10.15
347080,573,572.98,-54.87,-54.87,0,10.15
347085,553,552.79,-67.5,-67.5,0,10.15
347090,537,537.03,-79.95,-79.95,0,10.15
347095,520,520.21,-92.13,-92.13,0,10.15
347100,507,506.97,-103.97,-103.97,0,10.15
347105,494,493.79,-115.4,-115.4,0,10.15
347110,479,479.04,-126.36,-126.36,0,10.15
347115,467,467.2,-136.78,-136.78,0,10.15
347120,458,457.96,-146.6,-146.6,0,10.15
347125,447,446.8,-155.78,-155.78,0,10.15
347130,439,439.04,-164.26,-164.26,0,10.15
347135,430,430.19,-172.0,-172.0,0,10.15
347140,422,421.96,-178.98,-178.98,0,10.15
347145,414,413.81,-185.16,-185.16,0,10.15
347150,408,408.04,-190.51,-190.51,0,10.15
347155,399,399.19,-195.02,-195.02,0,10.15
347160,395,394.96,-198.68,-198.68,0,10.15
347165,389,388.82,-201.48,-201.48,0,10.15
347170,386,386.04,-203.43,-203.43,0,10.15
347175,383,383.18,-204.52,-203.43,0,10.15
347180,382,381.96,-204.78,-203.43,0,10.15
347185,381,380.83,-204.22,-203.43,0,10.15
347190,382,382.04,-202.86,-202.86,0,10.15
347195,380,380.17,-200.75,-200.75,0,10.15
347200,386,385.96,-197.91,-197.91,0,10.15
347205,386,385.84,-194.39,-194.39,0,10.15
347210,391,391.05,-190.24,-190.24,0,10.15
347215,394,394.16,-185.51,-185.51,0,10.15
347220,402,401.96,-180.26,-180.26,0,10.15
347225,409,408.85,-174.55,-174.55,0,10.15
347230,419,419.04,-168.43,-168.43,0,10.15
347235,424,424.14,-161.98,-161.98,0,10.15
347240,433,432.95,-155.26,-155.26,0,10.15
347245,441,440.87,-148.34,-148.34,0,10.15
347250,447,447.05,-141.29,-141.29,0,10.15
347255,457,457.11,-134.17,-134.17,0,10.15
347260,465,464.95,-127.05,-127.05,0,10.15
347265,472,471.9,-119.99,-119.99,0,10.15
347270,480,480.05,-113.04,-113.04,0,10.15
347275,486,486.09,-106.27,-106.27,0,10.15
347280,494,493.95,-99.72,-99.72,0,10.15
347285,497,496.92,-93.44,-93.44,0,10.15
347290,502,502.05,-87.48,-87.48,0,10.15
347295,505,505.07,-81.86,-81.86,0,10.15
347300,509,508.95,-76.63,-76.63,0,10.15
347305,512,511.94,-71.8,-71.8,0,10.15
347310,516,516.04,-67.39,-67.39,0,10.15
347315,514,514.05,-63.43,-63.43,0,10.15
347320,515,514.95,-59.91,-59.91,0,10.15
347325,514,513.96,-56.85,-56.85,0,10.15
347330,515,515.05,-54.24,-54.24,0,10.15
347335,513,513.03,-52.08,-52.08,0,10.15
347340,510,509.94,-50.36,-50.36,0,10.15
347345,507,506.98,-49.06,-49.06,0,10.15
347350,507,507.06,-48.18,-48.18,0,10.15
347355,505,505.02,-47.69,-48.18,0,10.15
347360,503,502.93,-47.57,-48.18,0,10.15
347365,498,497.99,-47.81,-48.18,0,10.15
347370,496,496.08,-48.37,-48.37,0,10.15
347375,494,494.01,-49.23,-49.23,0,10.15
347380,490,489.91,-50.37,-50.37,0,10.15
347385,487,486.98,-51.76,-51.76,0,10.15
347390,485,485.1,-53.37,-53.37,0,10.15
347395,481,481.02,-55.18,-55.18,0,10.15
347400,480,479.89,-57.16,-57.16,0,10.15
347405,478,477.98,-59.28,-59.28,0,10.15
347410,475,475.11,-61.52,-61.52,0,10.15
347415,474,474.02,-63.85,-63.85,0,10.15
347420,471,470.88,-66.25,-66.25,0,10.15
347425,470,469.98,-68.68,-68.68,0,10.15
347430,468,468.13,-71.13,-71.13,0,10.15
347435,465,465.02,-73.57,-73.57,0,10.15
347440,466,465.86,-75.96,-75.96,0,10.15
