Timestamp (ms),Temperatura (C),Stato Fisiologico
396000,32.7734,NORMALE
397000,32.7656,NORMALE
398000,32.7578,NORMALE
399000,32.7422,NORMALE
400000,32.6875,NORMALE
401000,32.7031,NORMALE
402000,32.7109,NORMALE
403000,32.7109,NORMALE
404000,32.7188,NORMALE
405000,32.7188,NORMALE
406000,32.7188,NORMALE
407000,32.7188,NORMALE
408000,32.7109,NORMALE
409000,32.7031,NORMALE
410000,32.6797,NORMALE
411000,32.6641,NORMALE
412000,32.6406,NORMALE
413100,32.6406,NORMALE
414100,32.6484,NORMALE
415100,32.6172,NORMALE
416100,32.5859,NORMALE
417100,32.5781,NORMALE
418100,32.5781,NORMALE
419100,32.5625,NORMALE
420100,32.5547,NORMALE
421100,32.5391,NORMALE
422100,32.5547,NORMALE
423100,32.5703,NORMALE
424100,32.5703,NORMALE
425100,32.5625,NORMALE
426100,32.5625,NORMALE
427100,32.5391,NORMALE
428100,32.5234,NORMALE
429100,32.5156,NORMALE
430100,32.5234,NORMALE
431100,32.5156,NORMALE
432100,32.5234,NORMALE
433100,32.5156,NORMALE
434100,32.5078,NORMALE
