Timestamp (ms),Temperatura (C),Stato Fisiologico
498300,32.1563,NORMALE
499300,32.1563,NORMALE
500300,32.1484,NORMALE
501300,32.1484,NORMALE
502300,32.1484,NORMALE
503300,32.1484,NORMALE
504300,32.1484,NORMALE
505300,32.1328,NORMALE
506300,32.1172,NORMALE
507300,32.1094,NORMALE
508300,32.1016,NORMALE
509300,32.1172,NORMALE
510300,32.125,NORMALE
511300,32.1328,NORMALE
512300,32.1094,NORMALE
513300,32.1172,NORMALE
514300,32.1094,NORMALE
515300,32.1016,NORMALE
516300,32.1094,NORMALE
517300,32.1094,NORMALE
518400,32.1094,NORMALE
519400,32.1094,NORMALE
520400,32.1094,NORMALE
521400,32.1094,NORMALE
522400,32.1094,NORMALE
523400,32.1094,NORMALE
524400,32.1094,NORMALE
525400,32.1016,NORMALE
526400,32.0938,NORMALE
527400,32.0859,NORMALE
528400,32.0781,NORMALE
529400,32.0625,NORMALE
530400,32.0625,NORMALE
531400,32.0625,NORMALE
532400,32.0469,NORMALE
533400,32.0313,NORMALE
534400,32.0313,NORMALE
535400,32.0234,NORMALE
536400,32.0234,NORMALE
537400,32.0156,NORMALE
538400,32.0078,NORMALE
539400,31.9922,NORMALE
540400,31.9844,NORMALE
541400,31.9922,NORMALE
542400,32.0,NORMALE
543400,31.9922,NORMALE
544400,31.9844,NORMALE
545400,31.9844,NORMALE
546400,31.9766,NORMALE
547400,31.9688,NORMALE
548400,31.9609,NORMALE
549400,31.9688,NORMALE
550400,31.9766,NORMALE
551400,31.9531,NORMALE
552500,31.9297,NORMALE
553500,31.9141,NORMALE
554500,31.9297,NORMALE
555500,31.9375,NORMALE
556500,31.9453,NORMALE
557500,31.9375,NORMALE
558500,31.9219,NORMALE
559500,31.9219,NORMALE
560500,31.9141,NORMALE
561500,31.9063,NORMALE
562500,31.9141,NORMALE
563500,31.9141,NORMALE
564500,31.9063,NORMALE
565500,31.8906,NORMALE
566500,31.8828,NORMALE
567500,31.8828,NORMALE
568500,31.875,NORMALE
569500,31.8594,NORMALE
570500,31.8594,NORMALE
571500,31.8438,NORMALE
572500,31.8438,NORMALE
573500,31.8438,NORMALE
574500,31.8281,NORMALE
575500,31.8125,NORMALE
576500,31.7813,NORMALE
577500,31.7656,NORMALE
578500,31.7422,NORMALE
579500,31.7188,NORMALE
580500,31.7344,NORMALE
581500,31.7422,NORMALE
582500,31.7656,NORMALE
583500,31.7578,NORMALE
584500,31.7344,NORMALE
585500,31.7422,NORMALE
586500,31.7344,NORMALE
587600,31.7266,NORMALE
588600,31.7188,NORMALE
589600,31.7109,NORMALE
590600,31.7031,NORMALE
591600,31.6953,NORMALE
592600,31.6875,NORMALE
593600,31.6875,NORMALE
594600,31.6719,NORMALE
595600,31.6641,NORMALE
596600,31.6563,NORMALE
597600,31.6406,NORMALE
598600,31.6328,NORMALE
599600,31.6406,NORMALE
600600,31.6328,NORMALE
601600,31.6328,NORMALE
602600,31.6172,NORMALE
603600,31.6172,NORMALE
604600,31.6016,NORMALE
605600,31.5859,NORMALE
606600,31.5781,NORMALE
607600,31.5625,NORMALE
608600,31.5547,NORMALE
609600,31.5547,NORMALE
610600,31.5625,NORMALE
611600,31.5703,NORMALE
612600,31.5625,NORMALE
613600,31.5625,NORMALE
614600,31.5625,NORMALE
615600,31.5547,NORMALE
616600,31.5547,NORMALE
617600,31.5391,NORMALE
618600,31.5313,NORMALE
619600,31.5313,NORMALE
620700,31.5234,NORMALE
621700,31.5234,NORMALE
622700,31.5078,NORMALE
623700,31.5078,NORMALE
624700,31.5078,NORMALE
625700,31.5078,NORMALE
626700,31.5078,NORMALE
627700,31.5,NORMALE
628700,31.4766,SOTTO STRESS (Vasocostrizione)
629700,31.4766,SOTTO STRESS (Vasocostrizione)
630700,31.4688,SOTTO STRESS (Vasocostrizione)
631700,31.4531,SOTTO STRESS (Vasocostrizione)
632700,31.4453,SOTTO STRESS (Vasocostrizione)
633700,31.4453,SOTTO STRESS (Vasocostrizione)
634700,31.4375,SOTTO STRESS (Vasocostrizione)
635700,31.4453,SOTTO STRESS (Vasocostrizione)
636700,31.4297,SOTTO STRESS (Vasocostrizione)
637700,31.4141,SOTTO STRESS (Vasocostrizione)
638700,31.4141,SOTTO STRESS (Vasocostrizione)
639700,31.4141,SOTTO STRESS (Vasocostrizione)
640700,31.3984,SOTTO STRESS (Vasocostrizione)
641700,31.375,SOTTO STRESS (Vasocostrizione)
642700,31.3672,SOTTO STRESS (Vasocostrizione)
643700,31.375,SOTTO STRESS (Vasocostrizione)
644700,31.375,SOTTO STRESS (Vasocostrizione)
645700,31.3672,SOTTO STRESS (Vasocostrizione)
646700,31.3672,SOTTO STRESS (Vasocostrizione)
647700,31.3672,SOTTO STRESS (Vasocostrizione)
648700,31.3594,SOTTO STRESS (Vasocostrizione)
649700,31.3516,SOTTO STRESS (Vasocostrizione)
650700,31.3516,SOTTO STRESS (Vasocostrizione)
651700,31.3359,SOTTO STRESS (Vasocostrizione)
652800,31.3359,SOTTO STRESS (Vasocostrizione)
653800,31.3281,SOTTO STRESS (Vasocostrizione)
654800,31.3203,SOTTO STRESS (Vasocostrizione)
655800,31.3125,SOTTO STRESS (Vasocostrizione)
656800,31.3359,SOTTO STRESS (Vasocostrizione)
657800,31.3281,SOTTO STRESS (Vasocostrizione)
658800,31.3203,SOTTO STRESS (Vasocostrizione)
659800,31.3203,SOTTO STRESS (Vasocostrizione)
660800,31.3125,SOTTO STRESS (Vasocostrizione)
661800,31.3203,SOTTO STRESS (Vasocostrizione)
662800,31.3125,SOTTO STRESS (Vasocostrizione)
663800,31.3203,SOTTO STRESS (Vasocostrizione)
664800,31.3203,SOTTO STRESS (Vasocostrizione)
665800,31.3125,SOTTO STRESS (Vasocostrizione)
666800,31.3047,SOTTO STRESS (Vasocostrizione)
667800,31.3203,SOTTO STRESS (Vasocostrizione)
668800,31.2969,SOTTO STRESS (Vasocostrizione)
669800,31.2734,SOTTO STRESS (Vasocostrizione)
670800,31.2578,SOTTO STRESS (Vasocostrizione)
671800,31.2578,SOTTO STRESS (Vasocostrizione)
672800,31.2578,SOTTO STRESS (Vasocostrizione)
673800,31.25,SOTTO STRESS (Vasocostrizione)
674800,31.2656,SOTTO STRESS (Vasocostrizione)
675800,31.2578,SOTTO STRESS (Vasocostrizione)
676800,31.2656,SOTTO STRESS (Vasocostrizione)
677800,31.2656,SOTTO STRESS (Vasocostrizione)
678800,31.2578,SOTTO STRESS (Vasocostrizione)
679800,31.25,SOTTO STRESS (Vasocostrizione)
680800,31.2422,SOTTO STRESS (Vasocostrizione)
681800,31.2422,SOTTO STRESS (Vasocostrizione)
682800,31.25,SOTTO STRESS (Vasocostrizione)
683800,31.25,SOTTO STRESS (Vasocostrizione)
684800,31.25,SOTTO STRESS (Vasocostrizione)
685800,31.2578,SOTTO STRESS (Vasocostrizione)
686900,31.25,SOTTO STRESS (Vasocostrizione)
687900,31.2422,SOTTO STRESS (Vasocostrizione)
688900,31.2344,SOTTO STRESS (Vasocostrizione)
689900,31.2266,SOTTO STRESS (Vasocostrizione)
690900,31.2188,SOTTO STRESS (Vasocostrizione)
691900,31.2344,SOTTO STRESS (Vasocostrizione)
692900,31.2266,SOTTO STRESS (Vasocostrizione)
693900,31.2109,SOTTO STRESS (Vasocostrizione)
694900,31.2031,SOTTO STRESS (Vasocostrizione)
695900,31.2031,SOTTO STRESS (Vasocostrizione)
696900,31.1953,SOTTO STRESS (Vasocostrizione)
697900,31.2109,SOTTO STRESS (Vasocostrizione)
698900,31.1875,SOTTO STRESS (Vasocostrizione)
699900,31.1797,SOTTO STRESS (Vasocostrizione)
700900,31.1875,SOTTO STRESS (Vasocostrizione)
701900,31.1797,SOTTO STRESS (Vasocostrizione)
702900,31.1875,SOTTO STRESS (Vasocostrizione)
703900,31.1875,SOTTO STRESS (Vasocostrizione)
704900,31.1797,SOTTO STRESS (Vasocostrizione)
705900,31.1719,SOTTO STRESS (Vasocostrizione)
706900,31.1719,SOTTO STRESS (Vasocostrizione)
707900,31.1563,SOTTO STRESS (Vasocostrizione)
